#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Stage,Legendary
0,Bulbasaur,Grass,Poison,318,45,49,49,65,65,45,1,FALSE
1,Ivysaur,Grass,Poison,405,60,62,63,80,80,60,2,FALSE
2,Venusaur,Grass,Poison,525,80,82,83,100,100,80,3,FALSE
3,Charmander,Fire,,309,39,52,43,60,50,65,1,FALSE
4,Charmeleon,Fire,,405,58,64,58,80,65,80,2,FALSE
5,Charizard,Fire,Flying,534,78,84,78,109,85,100,3,FALSE
6,Squirtle,Water,,314,44,48,65,50,64,43,1,FALSE
7,Wartortle,Water,,405,59,63,80,65,80,58,2,FALSE
8,Blastoise,Water,,530,79,83,100,85,105,78,3,FALSE
9,Caterpie,Bug,,195,45,30,35,20,20,45,1,FALSE
